job_role,course_name,course_link,difficulty_level,category,job_role_encoded,course_name_encoded,category_encoded
5G Core Network Engineer,"NOC:Optical Wireless Communications for Beyond 5G Networks and IoT, IIIT Delhi",https://nptel.ac.in/courses/108106190,Intermediate,Telecommunications,0,853,544
5G Engineer,"NOC:Evolution of Air Interface towards 5G, IIT Kharagpur",https://nptel.ac.in/courses/108105134,Advanced,Telecommunications,1,852,544
6G Wireless Communication Researcher,"NOC:Enabling Technologies for 6G Communications Networks (Hindi), IIIT Delhi",https://nptel.ac.in/courses/108106588,Advanced,Wireless Communications,2,851,602
AI Bias Auditor,Bias Detection in Natural Language Processing,https://developers.google.com/machine-learning/fairness-overview,Advanced,Natural Language Processing,3,163,407
AI Data Pipeline Engineer,Machine Learning Engineering for Production (MLOps) Specialization,https://www.deeplearning.ai/courses/machine-learning-engineering-for-production-mlops/,Intermediate,MLOps,4,746,373
AI Ethics Consultant,AI for Everyone,https://www.deeplearning.ai/courses/ai-for-everyone/,Beginner,AI Foundations,5,8,8
AI Ethics Consultant,Bias and Fairness in AI,https://developers.google.com/machine-learning/crash-course/fairness/video-lecture,Intermediate,AI Fairness,5,164,6
AI Ethics Policy Developer,The Ethics of Artificial Intelligence,https://www.coursera.org/learn/ethics-of-artificial-intelligence,Beginner,AI Ethics,6,1103,4
AI Explainability Specialist,"Fairness, Accountability, Transparency, and Ethics in AI",https://ethics.fast.ai/,Intermediate,AI Ethics and Explainability,7,461,5
AI Explainability Specialist,Introduction to Responsible AI,https://learn.microsoft.com/en-us/training/modules/responsible-ai-principles/,Beginner,Artificial Intelligence,7,667,29
AI Model Deployment Specialist,Docker for Data Science,https://www.udemy.com/topic/docker/,Intermediate,DevOps/AI/ML Engineering,8,427,254
AI Model Distillation Engineer,Model Compression,https://huggingface.co/course/chapter7/5?fw=pt,Intermediate,Deep Learning/Model Optimization,9,816,246
AI Model Distillation Engineer,Pruning and Quantization,https://docs.nvidia.com/deeplearning/tensorrt/developer-guide/index.html#pruning_chapter,Advanced,Deep Learning/Model Optimization,9,949,246
AI Model Distillation Engineer,Introduction to TensorFlow Lite,https://www.tensorflow.org/lite/tutorials,Beginner,Mobile Deep Learning,9,677,397
AI Model Explainability Tester,Black-Box Software Testing,https://bbst.courses/,Intermediate,Software Testing,10,173,522
AI Model Explainability Tester,Applied Machine Learning: Foundations,https://www.linkedin.com/learning/applied-machine-learning-foundations,Intermediate,Machine Learning Fundamentals,10,134,379
AI Model Risk Specialist,Explainable AI (XAI),https://www.coursera.org/learn/explainable-ai,Advanced,Artificial Intelligence,11,455,29
AI Model Risk Specialist,Building Reliable Machine Learning Models,https://developers.google.com/machine-learning/crash-course/production-ml-systems,Advanced,"Machine Learning, MLOps",11,207,382
AI Model Trainer,TensorFlow Developer Professional Certificate,https://www.coursera.org/professional-certificates/tensorflow-in-practice,Intermediate,Machine Learning,12,1080,374
AI Model Trainer,Generative Adversarial Networks (GANs) Specialization,https://www.coursera.org/specializations/generative-adversarial-networks-gans,Advanced,Deep Learning,12,501,243
AI Researcher,Probabilistic Graphical Models Specialization,https://www.coursera.org/specializations/probabilistic-graphical-models,Advanced,Probabilistic Modeling,13,937,449
AI Researcher,CS224N: Natural Language Processing with Deep Learning,https://web.stanford.edu/class/cs224n/,Advanced,Natural Language Processing,13,250,407
AI-Based Graph Query Optimizer,Discrete Optimization,https://www.coursera.org/learn/discrete-optimization,Intermediate,Mathematics/Computer Science,14,423,393
AI-Based Graph Query Optimizer,"Theory of Automata, Formal Languages and Computation, IIT Madras",https://nptel.ac.in/courses/106/106/106106049/,Advanced,Computer Science,14,1115,118
AI-Based Graph Query Optimizer,Algorithms Specialization,https://www.coursera.org/specializations/algorithms,Intermediate,Algorithms,14,103,26
AI-Based Industrial Automation Engineer,AI for Robotics,https://www.udacity.com/course/ai-for-robotics--cs373,Advanced,Robotics/AI,15,11,484
AI-Based Industrial Automation Engineer,"Modern Robotics: Mechanics, Planning, and Control Specialization",https://www.coursera.org/specializations/modernrobotics,Advanced,Robotics/Control Systems,15,825,486
AI-Driven Drug Repurposing Engineer,Drug Discovery,https://www.coursera.org/learn/drug-discovery,Beginner,Pharmaceutical Sciences,16,434,443
AI-Driven Ethical Investment Analyst,Sustainable Investing and ESG Analysis,https://www.cfainstitute.org/en/programs/esg-investing,Intermediate,Sustainable Finance,17,1071,534
AI-Driven Ethical Investment Analyst,Financial Modeling and Valuation Analyst (FMVA),https://corporatefinanceinstitute.com/certifications/financial-modeling-valuation-analyst-fmva-program,Intermediate,Financial Analysis,17,466,307
AI-Driven Ethical Investment Analyst,Data Science Ethics,https://www.coursera.org/learn/data-science-ethics,Beginner,Data Ethics,17,365,189
AI-Driven Market Analyst,Marketing Analytics,https://www.coursera.org/specializations/marketing-analytics,Intermediate,Marketing Analytics,18,759,386
AI-Driven Market Analyst,Data Analysis with Python,https://www.coursera.org/specializations/data-analysis-python,Intermediate,Data Science,18,355,202
AI-Driven Network Automation Engineer,Network Programmability and Automation,https://www.netacad.com/courses/programming/networking-programmability-automation,Beginner,Network Automation,19,870,413
AI-Driven Network Congestion Engineer,Fundamentals of Computer Network Congestion Control,https://www.coursera.org/specializations/networking-basics,Intermediate,Network Engineering,20,481,414
AI-Driven Network Congestion Engineer,Introduction to Machine Learning for Networking,https://www.udacity.com/course/intro-to-machine-learning--ud120,Intermediate,Machine Learning,20,655,374
AI-Driven Network Congestion Engineer,Deep Reinforcement Learning for Network Optimization,https://www.deepmind.com/learning-resources,Advanced,Deep Learning,20,385,243
AI-Driven Network Congestion Engineer,Optimization Algorithms for Network Resource Allocation,https://www.edx.org/micromasters/mitx-supply-chain-management,Advanced,Optimization,20,896,433
AI-Driven Network Congestion Engineer,Time Series Analysis for Network Traffic Prediction,https://www.udemy.com/topic/time-series-analysis/,Intermediate,Data Science,20,1118,202
AI-Driven Personalization Engineer,MLOps (Machine Learning Operations) Fundamentals,https://www.cloudacademy.com/course/mlops-machine-learning-operations-fundamentals-468/,Intermediate,Machine Learning Operations,21,742,380
AI-Driven Personalized Recommendation Engineer,Building Recommender Systems with Machine Learning and AI,https://www.udemy.com/course/recommender-systems/,Intermediate,Data Science/Machine Learning,22,206,213
